ID,Team1,Team2,Team1 Seed,Team2 Seed,Team1Conf,Team2Conf,Seed1,Seed2
2019_1113_1449,1113,1449,X11,Y09,X,Y,11,9
2019_1113_1458,1113,1458,X11,Z05,X,Z,11,5
2019_1113_1459,1113,1459,X11,Y07,X,Y,11,7
2019_1113_1463,1113,1463,X11,W14,X,W,11,14
2019_1120_1124,1120,1124,Y05,X09,Y,X,5,9
2019_1120_1125,1120,1125,Y05,W11,Y,W,5,11
2019_1120_1133,1120,1133,Y05,W15,Y,W,5,15
2019_1120_1138,1120,1138,Y05,X06,Y,X,5,6
2019_1120_1153,1120,1153,Y05,Z07,Y,Z,5,7
2019_1120_1159,1120,1159,Y05,Z15,Y,Z,5,15
2019_1120_1181,1120,1181,Y05,W01,Y,W,5,1
2019_1120_1192,1120,1192,Y05,X16,Y,X,5,16
2019_1120_1196,1120,1196,Y05,X10,Y,X,5,10
2019_1120_1199,1120,1199,Y05,X04,Y,X,5,4
2019_1120_1205,1120,1205,Y05,Z16,Y,Z,5,16
2019_1120_1209,1120,1209,Y05,Y14,Y,Y,5,14
2019_1120_1211,1120,1211,Y05,X01,Y,X,5,1
2019_1120_1222,1120,1222,Y05,Y03,Y,Y,5,3
2019_1120_1233,1120,1233,Y05,Y16,Y,Y,5,16
2019_1120_1234,1120,1234,Y05,Z10,Y,Z,5,10
2019_1120_1235,1120,1235,Y05,Y06,Y,Y,5,6
2019_1120_1242,1120,1242,Y05,Y04,Y,Y,5,4
2019_1120_1243,1120,1243,Y05,Z04,Y,Z,5,4
2019_1120_1246,1120,1246,Y05,Y02,Y,Y,5,2
2019_1120_1251,1120,1251,Y05,W12,Y,W,5,12
2019_1120_1257,1120,1257,Y05,W07,Y,W,5,7
2019_1120_1261,1120,1261,Y05,W03,Y,W,5,3
2019_1120_1266,1120,1266,Y05,X05,Y,X,5,5
2019_1120_1268,1120,1268,Y05,W06,Y,W,5,6
2019_1120_1276,1120,1276,Y05,X02,Y,X,5,2
2019_1120_1277,1120,1277,Y05,W02,Y,W,5,2
2019_1120_1278,1120,1278,Y05,W10,Y,W,5,10
2019_1120_1279,1120,1279,Y05,Z08,Y,Z,5,8
2019_1120_1280,1120,1280,Y05,W05,Y,W,5,5
2019_1120_1285,1120,1285,Y05,X15,Y,X,5,15
2019_1120_1293,1120,1293,Y05,X12,Y,X,5,12
2019_1120_1295,1120,1295,Y05,W16,Y,W,5,16
2019_1120_1297,1120,1297,Y05,X14,Y,X,5,14
2019_1120_1300,1120,1300,Y05,W16,Y,W,5,16
2019_1120_1305,1120,1305,Y05,X07,Y,X,5,7
2019_1120_1308,1120,1308,Y05,Y12,Y,Y,5,12
2019_1120_1314,1120,1314,Y05,Y01,Y,Y,5,1
2019_1120_1318,1120,1318,Y05,Y13,Y,Y,5,13
2019_1120_1326,1120,1326,Y05,Y11,Y,Y,5,11
2019_1120_1328,1120,1328,Y05,Z09,Y,Z,5,9
2019_1120_1330,1120,1330,Y05,Z14,Y,Z,5,14
2019_1120_1332,1120,1332,Y05,Z12,Y,Z,5,12
2019_1120_1341,1120,1341,Y05,X16,Y,X,5,16
2019_1120_1345,1120,1345,Y05,Z03,Y,Z,5,3
2019_1120_1371,1120,1371,Y05,Y10,Y,Y,5,10
2019_1120_1385,1120,1385,Y05,X11,Y,X,5,11
2019_1120_1387,1120,1387,Y05,W13,Y,W,5,13
2019_1120_1388,1120,1388,Y05,Z11,Y,Z,5,11
2019_1120_1393,1120,1393,Y05,X08,Y,X,5,8
2019_1120_1396,1120,1396,Y05,W11,Y,W,5,11
2019_1120_1397,1120,1397,Y05,Z02,Y,Z,5,2
2019_1120_1403,1120,1403,Y05,X03,Y,X,5,3
2019_1120_1414,1120,1414,Y05,Z13,Y,Z,5,13
2019_1120_1416,1120,1416,Y05,W09,Y,W,5,9
2019_1120_1429,1120,1429,Y05,Y08,Y,Y,5,8
2019_1120_1433,1120,1433,Y05,W08,Y,W,5,8
2019_1120_1436,1120,1436,Y05,X13,Y,X,5,13
2019_1120_1437,1120,1437,Y05,Z06,Y,Z,5,6
2019_1120_1438,1120,1438,Y05,Z01,Y,Z,5,1
2019_1120_1439,1120,1439,Y05,W04,Y,W,5,4
2019_1120_1449,1120,1449,Y05,Y09,Y,Y,5,9
2019_1120_1458,1120,1458,Y05,Z05,Y,Z,5,5
2019_1120_1459,1120,1459,Y05,Y07,Y,Y,5,7
2019_1120_1463,1120,1463,Y05,W14,Y,W,5,14
2019_1124_1125,1124,1125,X09,W11,X,W,9,11
2019_1124_1133,1124,1133,X09,W15,X,W,9,15
2019_1124_1138,1124,1138,X09,X06,X,X,9,6
2019_1124_1153,1124,1153,X09,Z07,X,Z,9,7
2019_1124_1159,1124,1159,X09,Z15,X,Z,9,15
2019_1124_1181,1124,1181,X09,W01,X,W,9,1
2019_1124_1192,1124,1192,X09,X16,X,X,9,16
2019_1124_1196,1124,1196,X09,X10,X,X,9,10
2019_1124_1199,1124,1199,X09,X04,X,X,9,4
2019_1124_1205,1124,1205,X09,Z16,X,Z,9,16
2019_1124_1209,1124,1209,X09,Y14,X,Y,9,14
2019_1124_1211,1124,1211,X09,X01,X,X,9,1
2019_1124_1222,1124,1222,X09,Y03,X,Y,9,3
2019_1124_1233,1124,1233,X09,Y16,X,Y,9,16
2019_1124_1234,1124,1234,X09,Z10,X,Z,9,10
2019_1124_1235,1124,1235,X09,Y06,X,Y,9,6
2019_1124_1242,1124,1242,X09,Y04,X,Y,9,4
2019_1124_1243,1124,1243,X09,Z04,X,Z,9,4
2019_1124_1246,1124,1246,X09,Y02,X,Y,9,2
2019_1124_1251,1124,1251,X09,W12,X,W,9,12
2019_1124_1257,1124,1257,X09,W07,X,W,9,7
2019_1124_1261,1124,1261,X09,W03,X,W,9,3
2019_1124_1266,1124,1266,X09,X05,X,X,9,5
2019_1124_1268,1124,1268,X09,W06,X,W,9,6
2019_1124_1276,1124,1276,X09,X02,X,X,9,2
2019_1124_1277,1124,1277,X09,W02,X,W,9,2
2019_1124_1278,1124,1278,X09,W10,X,W,9,10
2019_1124_1279,1124,1279,X09,Z08,X,Z,9,8
2019_1124_1280,1124,1280,X09,W05,X,W,9,5
2019_1124_1285,1124,1285,X09,X15,X,X,9,15
2019_1124_1293,1124,1293,X09,X12,X,X,9,12
2019_1124_1295,1124,1295,X09,W16,X,W,9,16
2019_1124_1297,1124,1297,X09,X14,X,X,9,14
2019_1124_1300,1124,1300,X09,W16,X,W,9,16
2019_1124_1305,1124,1305,X09,X07,X,X,9,7
2019_1124_1308,1124,1308,X09,Y12,X,Y,9,12
2019_1124_1314,1124,1314,X09,Y01,X,Y,9,1
2019_1124_1318,1124,1318,X09,Y13,X,Y,9,13
2019_1124_1326,1124,1326,X09,Y11,X,Y,9,11
2019_1124_1328,1124,1328,X09,Z09,X,Z,9,9
2019_1124_1330,1124,1330,X09,Z14,X,Z,9,14
2019_1124_1332,1124,1332,X09,Z12,X,Z,9,12
2019_1124_1341,1124,1341,X09,X16,X,X,9,16
2019_1124_1345,1124,1345,X09,Z03,X,Z,9,3
2019_1124_1371,1124,1371,X09,Y10,X,Y,9,10
2019_1124_1385,1124,1385,X09,X11,X,X,9,11
2019_1124_1387,1124,1387,X09,W13,X,W,9,13
2019_1124_1388,1124,1388,X09,Z11,X,Z,9,11
2019_1124_1393,1124,1393,X09,X08,X,X,9,8
2019_1124_1396,1124,1396,X09,W11,X,W,9,11
2019_1124_1397,1124,1397,X09,Z02,X,Z,9,2
2019_1124_1403,1124,1403,X09,X03,X,X,9,3
2019_1124_1414,1124,1414,X09,Z13,X,Z,9,13
2019_1124_1416,1124,1416,X09,W09,X,W,9,9
2019_1124_1429,1124,1429,X09,Y08,X,Y,9,8
2019_1124_1433,1124,1433,X09,W08,X,W,9,8
2019_1124_1436,1124,1436,X09,X13,X,X,9,13
2019_1124_1437,1124,1437,X09,Z06,X,Z,9,6
2019_1124_1438,1124,1438,X09,Z01,X,Z,9,1
2019_1124_1439,1124,1439,X09,W04,X,W,9,4
2019_1124_1449,1124,1449,X09,Y09,X,Y,9,9
2019_1124_1458,1124,1458,X09,Z05,X,Z,9,5
2019_1124_1459,1124,1459,X09,Y07,X,Y,9,7
2019_1124_1463,1124,1463,X09,W14,X,W,9,14
2019_1125_1133,1125,1133,W11,W15,W,W,11,15
2019_1125_1138,1125,1138,W11,X06,W,X,11,6
2019_1125_1153,1125,1153,W11,Z07,W,Z,11,7
2019_1125_1159,1125,1159,W11,Z15,W,Z,11,15
2019_1125_1181,1125,1181,W11,W01,W,W,11,1
2019_1125_1192,1125,1192,W11,X16,W,X,11,16
2019_1125_1196,1125,1196,W11,X10,W,X,11,10
2019_1125_1199,1125,1199,W11,X04,W,X,11,4
2019_1125_1205,1125,1205,W11,Z16,W,Z,11,16
2019_1125_1209,1125,1209,W11,Y14,W,Y,11,14
2019_1125_1211,1125,1211,W11,X01,W,X,11,1
2019_1125_1222,1125,1222,W11,Y03,W,Y,11,3
2019_1125_1233,1125,1233,W11,Y16,W,Y,11,16
2019_1125_1234,1125,1234,W11,Z10,W,Z,11,10
2019_1125_1235,1125,1235,W11,Y06,W,Y,11,6
2019_1125_1242,1125,1242,W11,Y04,W,Y,11,4
2019_1125_1243,1125,1243,W11,Z04,W,Z,11,4
2019_1125_1246,1125,1246,W11,Y02,W,Y,11,2
2019_1125_1251,1125,1251,W11,W12,W,W,11,12
2019_1125_1257,1125,1257,W11,W07,W,W,11,7
2019_1125_1261,1125,1261,W11,W03,W,W,11,3
2019_1125_1266,1125,1266,W11,X05,W,X,11,5
2019_1125_1268,1125,1268,W11,W06,W,W,11,6
2019_1125_1276,1125,1276,W11,X02,W,X,11,2
2019_1125_1277,1125,1277,W11,W02,W,W,11,2
2019_1125_1278,1125,1278,W11,W10,W,W,11,10
2019_1125_1279,1125,1279,W11,Z08,W,Z,11,8
2019_1125_1280,1125,1280,W11,W05,W,W,11,5
2019_1125_1285,1125,1285,W11,X15,W,X,11,15
2019_1125_1293,1125,1293,W11,X12,W,X,11,12
2019_1125_1295,1125,1295,W11,W16,W,W,11,16
2019_1125_1297,1125,1297,W11,X14,W,X,11,14
2019_1125_1300,1125,1300,W11,W16,W,W,11,16
2019_1125_1305,1125,1305,W11,X07,W,X,11,7
2019_1125_1308,1125,1308,W11,Y12,W,Y,11,12
2019_1125_1314,1125,1314,W11,Y01,W,Y,11,1
2019_1125_1318,1125,1318,W11,Y13,W,Y,11,13
2019_1125_1326,1125,1326,W11,Y11,W,Y,11,11
2019_1125_1328,1125,1328,W11,Z09,W,Z,11,9
2019_1125_1330,1125,1330,W11,Z14,W,Z,11,14
2019_1125_1332,1125,1332,W11,Z12,W,Z,11,12
2019_1125_1341,1125,1341,W11,X16,W,X,11,16
2019_1125_1345,1125,1345,W11,Z03,W,Z,11,3
2019_1125_1371,1125,1371,W11,Y10,W,Y,11,10
2019_1125_1385,1125,1385,W11,X11,W,X,11,11
2019_1125_1387,1125,1387,W11,W13,W,W,11,13
2019_1125_1388,1125,1388,W11,Z11,W,Z,11,11
2019_1125_1393,1125,1393,W11,X08,W,X,11,8
2019_1125_1396,1125,1396,W11,W11,W,W,11,11
2019_1125_1397,1125,1397,W11,Z02,W,Z,11,2
2019_1125_1403,1125,1403,W11,X03,W,X,11,3
2019_1125_1414,1125,1414,W11,Z13,W,Z,11,13
2019_1125_1416,1125,1416,W11,W09,W,W,11,9
2019_1125_1429,1125,1429,W11,Y08,W,Y,11,8
2019_1125_1433,1125,1433,W11,W08,W,W,11,8
2019_1125_1436,1125,1436,W11,X13,W,X,11,13
2019_1125_1437,1125,1437,W11,Z06,W,Z,11,6
2019_1125_1438,1125,1438,W11,Z01,W,Z,11,1
2019_1125_1439,1125,1439,W11,W04,W,W,11,4
2019_1125_1449,1125,1449,W11,Y09,W,Y,11,9
2019_1125_1458,1125,1458,W11,Z05,W,Z,11,5
2019_1125_1459,1125,1459,W11,Y07,W,Y,11,7
2019_1125_1463,1125,1463,W11,W14,W,W,11,14
2019_1133_1138,1133,1138,W15,X06,W,X,15,6
2019_1133_1153,1133,1153,W15,Z07,W,Z,15,7
2019_1133_1159,1133,1159,W15,Z15,W,Z,15,15
2019_1133_1181,1133,1181,W15,W01,W,W,15,1
2019_1133_1192,1133,1192,W15,X16,W,X,15,16
2019_1133_1196,1133,1196,W15,X10,W,X,15,10
2019_1133_1199,1133,1199,W15,X04,W,X,15,4
2019_1133_1205,1133,1205,W15,Z16,W,Z,15,16
2019_1133_1209,1133,1209,W15,Y14,W,Y,15,14
2019_1133_1211,1133,1211,W15,X01,W,X,15,1
2019_1133_1222,1133,1222,W15,Y03,W,Y,15,3
2019_1133_1233,1133,1233,W15,Y16,W,Y,15,16
2019_1133_1234,1133,1234,W15,Z10,W,Z,15,10
2019_1133_1235,1133,1235,W15,Y06,W,Y,15,6
2019_1133_1242,1133,1242,W15,Y04,W,Y,15,4
2019_1133_1243,1133,1243,W15,Z04,W,Z,15,4
2019_1133_1246,1133,1246,W15,Y02,W,Y,15,2
2019_1133_1251,1133,1251,W15,W12,W,W,15,12
2019_1133_1257,1133,1257,W15,W07,W,W,15,7
2019_1133_1261,1133,1261,W15,W03,W,W,15,3
2019_1133_1266,1133,1266,W15,X05,W,X,15,5
2019_1133_1268,1133,1268,W15,W06,W,W,15,6
2019_1133_1276,1133,1276,W15,X02,W,X,15,2
2019_1133_1277,1133,1277,W15,W02,W,W,15,2
2019_1133_1278,1133,1278,W15,W10,W,W,15,10
2019_1133_1279,1133,1279,W15,Z08,W,Z,15,8
2019_1133_1280,1133,1280,W15,W05,W,W,15,5
2019_1133_1285,1133,1285,W15,X15,W,X,15,15
2019_1133_1293,1133,1293,W15,X12,W,X,15,12
2019_1133_1295,1133,1295,W15,W16,W,W,15,16
2019_1133_1297,1133,1297,W15,X14,W,X,15,14
2019_1133_1300,1133,1300,W15,W16,W,W,15,16
2019_1133_1305,1133,1305,W15,X07,W,X,15,7
2019_1133_1308,1133,1308,W15,Y12,W,Y,15,12
2019_1133_1314,1133,1314,W15,Y01,W,Y,15,1
2019_1133_1318,1133,1318,W15,Y13,W,Y,15,13
2019_1133_1326,1133,1326,W15,Y11,W,Y,15,11
2019_1133_1328,1133,1328,W15,Z09,W,Z,15,9
2019_1133_1330,1133,1330,W15,Z14,W,Z,15,14
2019_1133_1332,1133,1332,W15,Z12,W,Z,15,12
2019_1133_1341,1133,1341,W15,X16,W,X,15,16
2019_1133_1345,1133,1345,W15,Z03,W,Z,15,3
2019_1133_1371,1133,1371,W15,Y10,W,Y,15,10
2019_1133_1385,1133,1385,W15,X11,W,X,15,11
2019_1133_1387,1133,1387,W15,W13,W,W,15,13
2019_1133_1388,1133,1388,W15,Z11,W,Z,15,11
2019_1133_1393,1133,1393,W15,X08,W,X,15,8
2019_1133_1396,1133,1396,W15,W11,W,W,15,11
2019_1133_1397,1133,1397,W15,Z02,W,Z,15,2
2019_1133_1403,1133,1403,W15,X03,W,X,15,3
2019_1133_1414,1133,1414,W15,Z13,W,Z,15,13
2019_1133_1416,1133,1416,W15,W09,W,W,15,9
2019_1133_1429,1133,1429,W15,Y08,W,Y,15,8
2019_1133_1433,1133,1433,W15,W08,W,W,15,8
2019_1133_1436,1133,1436,W15,X13,W,X,15,13
2019_1133_1437,1133,1437,W15,Z06,W,Z,15,6
2019_1133_1438,1133,1438,W15,Z01,W,Z,15,1
2019_1133_1439,1133,1439,W15,W04,W,W,15,4
2019_1133_1449,1133,1449,W15,Y09,W,Y,15,9
2019_1133_1458,1133,1458,W15,Z05,W,Z,15,5
2019_1133_1459,1133,1459,W15,Y07,W,Y,15,7
2019_1133_1463,1133,1463,W15,W14,W,W,15,14
2019_1138_1153,1138,1153,X06,Z07,X,Z,6,7
2019_1138_1159,1138,1159,X06,Z15,X,Z,6,15
2019_1138_1181,1138,1181,X06,W01,X,W,6,1
2019_1138_1192,1138,1192,X06,X16,X,X,6,16
2019_1138_1196,1138,1196,X06,X10,X,X,6,10
2019_1138_1199,1138,1199,X06,X04,X,X,6,4
2019_1138_1205,1138,1205,X06,Z16,X,Z,6,16
2019_1138_1209,1138,1209,X06,Y14,X,Y,6,14
2019_1138_1211,1138,1211,X06,X01,X,X,6,1
2019_1138_1222,1138,1222,X06,Y03,X,Y,6,3
2019_1138_1233,1138,1233,X06,Y16,X,Y,6,16
2019_1138_1234,1138,1234,X06,Z10,X,Z,6,10
2019_1138_1235,1138,1235,X06,Y06,X,Y,6,6
2019_1138_1242,1138,1242,X06,Y04,X,Y,6,4
2019_1138_1243,1138,1243,X06,Z04,X,Z,6,4
2019_1138_1246,1138,1246,X06,Y02,X,Y,6,2
2019_1138_1251,1138,1251,X06,W12,X,W,6,12
2019_1138_1257,1138,1257,X06,W07,X,W,6,7
2019_1138_1261,1138,1261,X06,W03,X,W,6,3
2019_1138_1266,1138,1266,X06,X05,X,X,6,5
2019_1138_1268,1138,1268,X06,W06,X,W,6,6
2019_1138_1276,1138,1276,X06,X02,X,X,6,2
2019_1138_1277,1138,1277,X06,W02,X,W,6,2
2019_1138_1278,1138,1278,X06,W10,X,W,6,10
2019_1138_1279,1138,1279,X06,Z08,X,Z,6,8
2019_1138_1280,1138,1280,X06,W05,X,W,6,5
2019_1138_1285,1138,1285,X06,X15,X,X,6,15
2019_1138_1293,1138,1293,X06,X12,X,X,6,12
2019_1138_1295,1138,1295,X06,W16,X,W,6,16
2019_1138_1297,1138,1297,X06,X14,X,X,6,14
2019_1138_1300,1138,1300,X06,W16,X,W,6,16
2019_1138_1305,1138,1305,X06,X07,X,X,6,7
2019_1138_1308,1138,1308,X06,Y12,X,Y,6,12
2019_1138_1314,1138,1314,X06,Y01,X,Y,6,1
2019_1138_1318,1138,1318,X06,Y13,X,Y,6,13
2019_1138_1326,1138,1326,X06,Y11,X,Y,6,11
2019_1138_1328,1138,1328,X06,Z09,X,Z,6,9
2019_1138_1330,1138,1330,X06,Z14,X,Z,6,14
2019_1138_1332,1138,1332,X06,Z12,X,Z,6,12
2019_1138_1341,1138,1341,X06,X16,X,X,6,16
2019_1138_1345,1138,1345,X06,Z03,X,Z,6,3
2019_1138_1371,1138,1371,X06,Y10,X,Y,6,10
2019_1138_1385,1138,1385,X06,X11,X,X,6,11
2019_1138_1387,1138,1387,X06,W13,X,W,6,13
2019_1138_1388,1138,1388,X06,Z11,X,Z,6,11
2019_1138_1393,1138,1393,X06,X08,X,X,6,8
2019_1138_1396,1138,1396,X06,W11,X,W,6,11
2019_1138_1397,1138,1397,X06,Z02,X,Z,6,2
2019_1138_1403,1138,1403,X06,X03,X,X,6,3
2019_1138_1414,1138,1414,X06,Z13,X,Z,6,13
2019_1138_1416,1138,1416,X06,W09,X,W,6,9
2019_1138_1429,1138,1429,X06,Y08,X,Y,6,8
2019_1138_1433,1138,1433,X06,W08,X,W,6,8
2019_1138_1436,1138,1436,X06,X13,X,X,6,13
2019_1138_1437,1138,1437,X06,Z06,X,Z,6,6
2019_1138_1438,1138,1438,X06,Z01,X,Z,6,1
2019_1138_1439,1138,1439,X06,W04,X,W,6,4
2019_1138_1449,1138,1449,X06,Y09,X,Y,6,9
2019_1138_1458,1138,1458,X06,Z05,X,Z,6,5
2019_1138_1459,1138,1459,X06,Y07,X,Y,6,7
2019_1138_1463,1138,1463,X06,W14,X,W,6,14
2019_1153_1159,1153,1159,Z07,Z15,Z,Z,7,15
2019_1153_1181,1153,1181,Z07,W01,Z,W,7,1
2019_1153_1192,1153,1192,Z07,X16,Z,X,7,16
2019_1153_1196,1153,1196,Z07,X10,Z,X,7,10
2019_1153_1199,1153,1199,Z07,X04,Z,X,7,4
2019_1153_1205,1153,1205,Z07,Z16,Z,Z,7,16
